Id;Name
728;Семенова М., Разумовский Ф.
499;Билаш Г.Д., Кривцов Н.И., Лебедев В.И.
1392;Karlin A., Tscherfas R., Solowjan V., Карлин А.Л., Черфас Р.А., Соловьян В.А.
1711;Фучаджи К.С., Стрюк Н.Н.
1699;Карякин Ю.В., Ангелов И.И.
386;Доменак Жан-Люк., Хуа Шанмин
1369;Иродов Н.Е., Савельев И.В., Замша О.И.
1560;Голяков С.М., Понизовский В.М.
1927;Хухтхаузен П.А., Шелтон-Дюпле А.
496;Гордиков Н.В., Дрпчев В.В.
1876;Никитенко Г.Ю., Соболь В.Д.
231;Семенова М., Константинов А.
319;Дей К., Селбин Д.
880;Мельников Д.Е., Черная Л.Б.
669;Деркач О.А., Быков В.В.
338;Федорова И.Н., Ямщиков С.В.
750;Ваховский Е.Б., Рывкин А.А.
845;Ильичев А.И., Бурындин Р.М.
1397;Берлина И.К., Помпа М.Г., Старшинова Е.К.
1530;Константинов А.И., Мовчан В.Н.
375;Сорреллс, Брайн Дж.
525;Сайбель Э.Я., Сайбель Э.Э.
981;Горюшкин Л.М., Бочарова Г.А.
1357;Шклярский Д.О., Ченцов Н.Н., Яглом И.М.
778;Lothar Willmann, Helmuth Pelzer
474;Наумова Н., Осипова Н.
1303;Панфилов Н.Ф., Панфилова М.Н.
77;Колесова В.В.
535;Пронников В.А., Ладанов И.Д.
1932;Ардашев А.Н., Федосеев С.Л.
1486;Головкин Б.Н., Китаева Л.А., Немченко Э.П.
116;Хэнкок Г., Бьювэл Р.
1894;Гриценко В., Калинин В.
1909;Гамма Э., Хелм Р., Джонсон Р., Влиссидес Дж.
1645;Меледин А.Б., Журба Ю.И., Анцев В.Г., и др.
37;Куланов А., Нацуко Окино
533;Фалкенберг Э.А., Панкратова А.Е.
1497;Абчук В.А., Суздаль В.Г.
390;Вартанов А.С., Луговьер Д.А.
1692;Выголов В.П., Удралова Н.В.
401;Михалкович В.И., Стигнеев В.Т.
1326;Макаренко А.А., Завлин П.М.
