Id;Author;Title;Publisher;Year;Pages;Storage;Notes;CottageNumber
1;Колпакиди А., Север А.;Спецслужбы Российской  Империи. Уникальная энциклопедия;М.: Яуза: Эксмо;2010;768;43;;
2;Крашенников С.П.;Описание земли Камчатки.;М.: Эксмо;2010;480;1;;
3;Гусарчук Д.М.;300 ответов любителю художественных работ по дереву.;М.;1976;248;1;ил;
4;Маркин А.В.;"""Умная"" теплица на вашем огороде.";Ростов н/Д.;2006;157;1;ил;
5;Дёмин В.М.;Война и вооруженная борьба.;М.;2005;320;1;;
6;Крестов Г.А., Кобенин В.А.;От кристалла к раствору.;Л.;1977;112;1;;
7;Уфимцев В.;Искусство самовнушения для спецслужб.;Мн.;2008;256;1;;
8;Федоров Б.С.;Типичные ошибки цветоводов-любителей.;М.;2003;192;1;;
9;Пресняков В.В.;Военная топография: учеб. Пособие.;Ростов н/Д.;2008;265;1;;
10;Сост. Измозик В.С.;Жандармы России.;Спб.;2002;640;1;;
11;Ардашев А.Н.;Зажигательное и огнеметное оружие.;М.;2009;704;1;;
12;;Полный курс для начинающего. Резьба по дереву.;Мн. Харвест .;2000;192;1;;
13;Соболева Т.А.;История шифровального дела в России.;М.;2002;511;1;ил.;
14;Бассетт Р.;Главный шпион Гитлера: Тайна Вильгельма Канариса.;М.;2006;383;1;ил. 16 с.;
15;Солоневич И.Л.;Народная монархия.;М.;2003;608;1;;
16;Буриков В.Г., Власов В.Н.;Домовая резьба.;М.;1992;352;1;ил.;
17;Чуприн К.В.;Военная мощь Поднебесной: Вооруженные силы КНР ( Справочник).;Мн. Харвест;2006;840;1;;
18;Анин Б.Ю.;Радиоэлектронный шпионаж.;М.;2000;493;1;;
19;Кан Дэвид;Война кодов и шифров: История четырех тысячелетий криптографии.;М. РИПОЛ Классик;2004;528;1;;
20;Смирнов А.Ю.;Империя Наполеона III.;М. Эксмо.;2003;288;1;;
21;Юрченко А.Г.;Книга Марко Поло: записки путешественника или имперская космография.;Спб. Евразия.;2007;864;1;;
22;Кузнецов И.Н.;"Без грифа ""секретно"": тайны архивов и материалов спецслужб.";Ростов н/Д.;2007;251;1;;
23;Тамберг Т.Г.;Гладиолусы.;Спб.;2000;192;1;ил.;
24;Фраттини Э.;Священный Альянс. Палачи и шпионы Ватикана.;М.;2007;576;1;ил.;
25;Чиа Мантэк, Вэй В.Ю.;Исцеление сексом: Активизация даоских точек любви.;М.;2007;256;1;;
26;Янушкявичюс Р.В., Янушкявичюс О.Л.;Основы нравственности: Учебное пособие для школьников и студентов.- 3-е изд. испр. и доп.;М.;2000;456;1;;
27;Курдюмов Н.И.;Умная бахча для всех.;Ростов н/Д.;2006;160;1;;
28;Матвеев К.П., Сазонов А.А.;Земля Древнего Двуречья: История, мифы, легенды, находки иоткрытия.;М.;1986;160;1;ил.;
29;Дамаскин И.А.;Вожди и разведка. От Ленина до Путина.;М.;2008;352;1;;
30;Курдюмов Н.И., Малышевский К.Г.;Умная теплица.;Ростов н/Д.;2006;192;1;;
31;Карпов А.А.;Вертикальное озеленение в саду, во дворе, на балконе.;Ростов н/Д.;2002;240;1;цв. вкл.;
32;Рязанкин А.И.;Секреты печного мастерства. ( Школа печника-практика ). Изд. 2-е.;М.;1998;176;1;;
33;Ермакова Н.И. ( составитель).;Овощи в Сибири.;Новосибирск;1999;301;1;;
34;;Великая забытая война.;М.;2009;592;1;;
35;Соловьев Б.И.;Русское дворянство.;Спб.;2003;302;1;32 с. ил.;
36;Барановский В.А.;Обивка мебели.;Ростов н/Д;2006;249;1;ил.;
37;Назаринова Л.В.;Теплица в приусадебном хозяйстве.;М.;1987;79;1;ил.;
38;Колесникова А.Ф.;Вишня. Черешня.;Харьков.;2003;255;1;;
39;Куланов А., Нацуко Окино;Обнаженная Япония: Эротические традиции Страны солнечного корня.;М.;2008;319;1;ил.;
40;Епископ Егорьевский Марк.;Церковный протокол.;М.;2007;184;2;;
41;Глухарева О.Н.;Искусство Кореи с древнейших времен до конца XIX века.;М.;1982;256;2;ил.;
42;Тихонов Ю.Н.;Афганская война Сталина. Битва за Центральную Азию.;М.;2008;704;2;;
43;Обухов В.Г.;Схватка шести империй. Битва за Синьцзян.;М.;2007;512;2;ил.;
44;Воронцов С.А.;Спецслужбы Россиии. Учебник.;Ростов н/Д.;2006;512;2;;
45;Рунов В.А.;Афганская война. Боевые операции.;М.;2008;432;2;;
46;Казачков Г.;Тактика спецназа.;Ростов н/Д.;2006;272;2;;
47;Переслегин С.;Вторая мировая: война между Реальностями.;М.;2007;544;2;;
48;;Япония. Как ее понять: очерки современной японской культуры.;М.;2006;317;2;;
49;Глазунов О.Н.;Китайская разведка.;М.;2008;256;2;;
50;Ловмяньский Х.;Русь и норманны.;М.;1985;304;2;;
51;Девятов А., Мартиросян М.;Китайский прорыв и уроки для России.;М.;2002;400;2;;
52;Широкорад А.Б.;Казачество в Великой Смуте. От Гришки Отрепьева до Михаила Романова.;М.;2007;320;2;;
53;Гумилев Л.Н.;Черная легенда.;М.;2006;352;2;;
54;Веремеев Ю.Г.;Мины вчера, сегодня, завтра.;Мн.;2008;352;2;;
55;Авт.-сост. Болтунов М.;Боевой опыт Чеченской войны.;М.;2008;320;2;;
56;;Проект Россия.;М.;2007;384;2;;
57;Берегова О.;Символы славян.;Спб.;2008;432;2;;
58;Попов А.Ю.;Диверсанты Сталина. НКВД в тылу врага.;М.;2008;480;2;;
59;Корж В.Н.;Пчеловодство. Практический курс.;Ростов н/Д.;2008;543;12;ил.;
60;;"Собери сам: 55 электронных устройств из набора "" МАСТЕР КИТ"". Вып. 1.";М.;2003;272;41;;
61;Петриков Л.В.;Электрификация садового участка.;М.;1990;124;41;ил.;
62;Щелоков А.А.;Увлекательная нумизматика. Факты, легенды, открытия в мире монет.;М.;2008;384;2;ил.;
63;Корж В.Н.;Основы пчеловодства.;Ростов н/Д.;2008;557;12;ил;
64;Петухов Ю.Д.;Норманны - Русы Севера.;М.;2008;368;2;;
65;Линдер И.Б., Чуркин С.А.;Красная паутина: Тайны разведки Коминтерна. 1919 - 1943.;М.;2005;688;2;ил.;
66;;Казанский Собор. Исторический очерк строительства и церковной жизни.;Спб.;2001;282;2;ил.;
67;Евдокимов П.Н.;Искусство иконы. Богословие красоты.;Клин.;2005;384;2;ил.;
68;Потапов В.М., Кочетова Э.К.;Химическая информация: Что, где и как искать химику в литературе.;М.;1979;304;2;ил.;
69;Ферсман А.Е.;Путешествия за камнем.;Л.;1956;528;2;;
70;Елисеефф В, Елисеефф Д.;Цивлизация классического Китая.;Екатеринобург;2007;640;2;;
71;Мединский В.Р.;"О русском рабстве, грязи и ""тюрьме народов"".";М.;2008;542;2;;
72;Мединский В.Р.;О русском пьянстве, лени и жестокости.;М.;2008;528;2;;
73;Авт.-сост. Карпов А.А.;Розы. Выращивание. Дизайн. Продажа.;Ростов н/Д.;2002;160;2;цв. вкл.;
74;Гвоздев С.А.;"""Ниндзя. Секреты тайного учения"": учебно-метод. пособие.";Мн.;2006;320;2;;
75;Баландин Р.К.;Магия внушения, или Секретное оружие Бехтерева.;М.;2008;368;2;;
76;Остапенко П.В.;История тайной войны в Средние века. Византия и Западная Европа.;М.;2008;384;2;ил.;
77;Кол. авторов.;Краткий справочник книголюба.;М.;1976;192;2;;
78;Большаков А.В.;Резьба по дереву. Ода винту.;М.;2007;112;2;ил.;
79;Сост. Рыженко В.И., Теличко А.А., Юров В.И.;Художественные работы по дереву: Практическое руководство.;М.;2003;640;2;ил.;
80;Рыженко В.И.;Русская современная баня.;М.;2007;192;2;цв. ил.;
81;Клара Гараш;Итальянские портреты эпохи Ренессанса.;Будапешт;1983;23;2;48 ил.;
82;;ТОМСК. Прогулки по знакомым местам.;Gala Press;2004;184;2;ил.;
83;;Православные храмы Томска (альбом).;Томск;2005;224;2;ил.;
84;Раскин А.Г.;Город Ломоносов. Дворцово-парковые ансамбли XVIII века.;Л.;1979;138;2;ил.;
85;Авт.-сост. Н.Рыбакова.;Искусство Камбоджи. Альбом.;М.;1977;38;2;156 ил.;
86;Janos Vegh;Van Eyck.;Warszawa;1983;14;2;28ill.;
87;Сост., коммент. В.В. Колесова.;Домострой.;М.;2007;480;2;;
88;Сыромятников Б.А.;Трагедия СМЕРШа. Откровения офицера-контрразведчика.;М.;2009;480;2;;
89;Шамбаров В.Е.;Антисоветчина, или Оборотни в Кремле.;М.;2008;592;2;;
90;Данн Ч.;Традиционная Япония. Быт, религия, культура.;М.;2006;222;2;;
91;Маркарьян С.Б., Молодякова Э.В.;Праздники в Японии: обычаи, обряды, социальные функции.;М.;1990;248;2;ил.;
92;Риб Р.Д.;Матководство.;Усть-Каменогорск;2004;184;2;;
93;Долгов В.В.;Потаенная жизнь Древней Руси: Быт, нравы, любовь.;М.;2009;512;3;;
94;Шаваев А.Г.;Галерея шпионажа.;М.;2009;428;3;;
95;Соколов Б.В.;Фронт за линией фронта. Партизанская война 1939 - 1945 гг.;М.;2008;432;3;ил.;
96;Сойер Р.Д.;Бай чжань ци люэ. Сто неканонических стратегий. Сражения и тактика в военном деле Древнего Китая.;Спб.;2008;446;3;;
97;Прозоров Л.Р.;Святослав Храбрый - Русский бог войны.;М.;2009;512;3;;
98;Кузьмина О.В.;Республика Святой Софии.;М.;2008;448;3;;
99;Прозоров Л.Р.;Русь языческая. Сумерки русских богов.;М.;2009;544;3;;
100;Абрашкин А.А.;Арийские корни Руси. Предки русских в Древнем мире.;М.;2009;480;3;;
101;Ионина Н.А.;Суздаль. История. Легенды. Предания.;М.;2009;352;3;ил.;
102;Гольцев В.А.;Сибирская Вандея. Судьба атамана Анненкова.;М.;2009;480;3;ил.;
